transaction_id,transaction_date,transaction_type,community,project,building,property_type,rooms_bucket,area_sqft,price_aed,price_per_sqft,is_offplan
BAY-2025-02-21-16190,2025-02-21,sale,Bluewaters Island,Bluewaters Residences,Bluewaters Residences 8,apartment,3BR+,2097.24,14250000.0,6794.64,True
BAY-2025-02-21-1028,2025-02-21,sale,Business Bay,Safeer Tower 2,,apartment,studio,482.76,600000.0,1242.85,True
BAY-2025-02-21-962,2025-02-21,sale,Dubai Sports City,Champions Tower,Champions Tower 1,apartment,2BR,911.81,725000.0,795.12,True
BAY-2025-02-21-6401,2025-02-21,sale,Business Bay,DAMAC Towers by Paramount Hotels and Resorts,Tower B,apartment,1BR,1055.19,1500000.0,1421.54,True
BAY-2025-02-21-88287,2025-02-21,sale,Dubai South,Emaar South,Greenville 2,villa,3BR+,2766.86,4022888.0,1453.95,True
BAY-2025-02-21-87991,2025-02-21,sale,Ghaf Woods,Lacina,,apartment,3BR+,3246.07,5212000.0,1605.63,True
BAY-2025-02-21-88129,2025-02-21,sale,Dubai Islands,Bay Grove Residences,Bay Grove Residences Building 4,apartment,3BR+,2173.88,5533000.0,2545.22,True
BAY-2025-02-21-88269,2025-02-21,sale,The Valley by Emaar,Elea,,villa,3BR+,2837.79,3610888.0,1272.43,True
BAY-2025-02-21-84174,2025-02-21,sale,Majan,The Haven,,apartment,studio,420.76,530000.0,1259.63,True
BAY-2025-02-21-973,2025-02-21,sale,Business Bay,DAMAC Maison Bay's Edge,,apartment,1BR,855.41,1305000.0,1525.58,True
BAY-2025-02-21-86958,2025-02-21,sale,Jumeirah Lake Towers (JLT),Diamondz by Danube,,apartment,studio,418.82,1187000.0,2834.15,True
BAY-2025-02-21-86958,2025-02-21,sale,Jumeirah Lake Towers (JLT),Diamondz by Danube,,apartment,studio,418.82,1108800.0,2647.44,True
BAY-2025-02-21-87761,2025-02-21,sale,Haven by Aldar,Verdes by Haven,Jade,apartment,3BR+,2005.1,2657400.0,1325.32,True
BAY-2025-02-21-80512,2025-02-21,sale,Sobha Hartland,Hartland Greens,Hartland Greens Building 6,apartment,studio,483.94,897000.0,1853.54,True
BAY-2025-02-21-86678,2025-02-21,sale,Za'abeel,Za'abeel 1,Address Residences Zabeel,apartment,2BR,1444.52,3576888.0,2476.18,True
BAY-2025-02-21-87949,2025-02-21,sale,Business Bay,Binghatti Skyrise,Binghatti Skyrise Tower A,apartment,studio,464.57,1200000.17,2583.03,True
BAY-2025-02-21-5051,2025-02-21,sale,Dubai Production City (IMPZ),Lakeside,Lakeside Tower D,apartment,studio,374.05,350000.0,935.7,True
BAY-2025-02-21-80645,2025-02-21,sale,Mohammed Bin Rashid City,District 7,Keturah Reserve,villa,3BR+,5409.51,10000000.0,1848.6,True
BAY-2025-02-21-84420,2025-02-21,sale,Dubai Harbour,DAMAC Bay by Cavalli,DAMAC Bay Tower C,apartment,1BR,824.3,3300000.0,4003.4,True
BAY-2025-02-21-83408,2025-02-21,sale,Arjan,Resortz by Danube,Resortz Residence Block 3,apartment,studio,450.04,485000.0,1077.68,True
BAY-2025-02-21-83707,2025-02-21,sale,Za'abeel,Za'abeel 2,Downtown Views II,apartment,3BR+,1780.46,5800000.0,3257.59,True
BAY-2025-02-21-86958,2025-02-21,sale,Jumeirah Lake Towers (JLT),Diamondz by Danube,,apartment,studio,418.82,1165000.0,2781.62,True
BAY-2025-02-21-80645,2025-02-21,sale,Mohammed Bin Rashid City,District 7,Keturah Reserve,villa,3BR+,5409.51,12418640.0,2295.71,True
BAY-2025-02-21-730,2025-02-21,sale,Dubai Marina,Marina Tower,,apartment,2BR,1269.39,2350000.0,1851.28,False
BAY-2025-02-21-1913,2025-02-21,sale,DAMAC Hills 2 (Akoya by DAMAC),Mulberry,,land,,,849600.0,,True
BAY-2025-02-21-87704,2025-02-21,sale,Jumeirah Village Circle (JVC),JVC District 14,Ashton Park Residences The Second,apartment,1BR,893.62,1317437.0,1474.27,True
BAY-2025-02-21-86847,2025-02-21,sale,Jumeirah Village Circle (JVC),JVC District 14,Park Lane by Heilbronn,apartment,1BR,785.33,1233943.6,1571.24,True
BAY-2025-02-21-1097,2025-02-21,sale,Dubai Marina,Marina Promenade,Beauport,apartment,1BR,957.99,2000000.0,2087.7,True
BAY-2025-02-21-87918,2025-02-21,sale,Dubai Production City (IMPZ),Binghatti Elite,,apartment,studio,370.92,500000.0,1348.0,True
